;
Historical polytheism;
;
Further information: Prehistoric religion and History of religion;
;
Ancient Near Eastern;
;
Ancient Egyptian religion;
Ancient Semitic religions;
Mesopotamian mythology;
Arabian mythology;
Babylonian and Assyrian religion;
Babylonian mythology;
Chaldean mythology;
Canaanite mythology;
Canaanite religion;
Hittite mythology;
Persian mythology;
Sumerian mythology;
;
Indo-European;
;
;
;
Proto-Indo-Iranian religion;
Zoroastrianism;
Historical Vedic religion;
Baltic polytheism;
Basque mythology;
Celtic polytheism;
Brythonic mythology;
Gaelic mythology;
Germanic polytheism;
Anglo-Saxon religion;
Norse religion;
Continental Germanic religion;
Greek polytheism;
Hungarian polytheism;
Finnish polytheism;
Roman polytheism;
Slavic polytheism;
;
Hellenistic;
;
;
;
Mystery religions;
Eleusinian Mysteries;
Mithraism;
Orphism;
Pythagoreanism;
Early Christianity;
Gallo-Roman religion;
;
Neopaganism;
;
;
;
Kemetism (egyptian neopaganism);
Rodnovery (slavic neopaganism);
Dievturiba (latvian neopaganism);
Germanic neopaganism;
Asatru;
Odinism;
Druidry;
Wicca;
;
Occult religions;
;
;
;
Freemasonry;
Rosicrucianism;
Ancient Mystical Order Rosae Crucis;
Ancient Order of the Rosicrucians;
Rosicrucian Fellowship;
Hermeticism;
Hermetic Order of the Golden Dawn;
Thelema;
;
Left-hand path occult religions;
;
;
;
Satanism;
Symbolic Satanism;
LaVey Satanism (Church of Satan);
Theistic Satanism;
Joy of Satan;
Order of Nine Angles;
Luciferianism;
Setianism (Temple of Set);
Vampirism (Temple of the Vampire);
;
Magic;
;
;
;
Hoodoo (Rootwork);
New Orleans Voodoo;
Kulam;
Magick;
Chaos magic;
Enochian magic;
Demonolatry;
Goetia;
Pow-wow;
Seid (shamanic magic);
Vaastu Shastra;
Witchcraft;
;
New Age religions and UFO religions;
;
;
;
Anthroposophy;
Eckankar;
Meher Baba;
Happy Science;
Heaven's Gate;
Raelism;
Scientology;
;
Parody religions;
;
Flying Spaghetti Monster or Pastafarianism;
Discordianism;
Church of the SubGenius;
;
Fictional religions;
;
Cthulhu Mythos;
Jedi (Star Wars);
Klingon religion (Star Trek);
Robotology (Futurama);
Virtology (Godspell);
Jashinism (Naruto);
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
